"partida_id","data","mandante","visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_placar","visitante_placar","mandante_estado","visitante_estado","Ano","Ano do Campeonato","Jogo","Equipe","Mando","GP","GS","P","J","V","E","D","SG"
"5395","42516","Internacional","Sport","A. Fucks","O. de Oliveira Filho","Internacional","Estádio José Pinheiro Borda","1","0","RS","PE","2016","2016","Internacional x Sport","Internacional","casa","1","0","3","1","1","0","0","1"
"5395","42516","Internacional","Sport","A. Fucks","O. de Oliveira Filho","Internacional","Estádio José Pinheiro Borda","1","0","RS","PE","2016","2016","Internacional x Sport","Sport","fora","0","1","0","1","0","0","1","-1"
"5396","42516","Atletico-MG","Gremio","M. de Oliveira Santos","R. Machado Marques","Gremio","Estádio Raimundo Sampaio","0","3","MG","RS","2016","2016","Atletico-MG x Gremio","Atletico-MG","casa","0","3","0","1","0","0","1","-3"
"5396","42516","Atletico-MG","Gremio","M. de Oliveira Santos","R. Machado Marques","Gremio","Estádio Raimundo Sampaio","0","3","MG","RS","2016","2016","Atletico-MG x Gremio","Gremio","fora","3","0","3","1","1","0","0","3"
"5397","42518","Cruzeiro","America-MG","P. Gomes Bento","G. de Oliveira","-"," Mineirão","1","1","MG","MG","2016","2016","Cruzeiro x America-MG","Cruzeiro","casa","1","1","1","1","0","1","0","0"
"5397","42518","Cruzeiro","America-MG","P. Gomes Bento","G. de Oliveira","-"," Mineirão","1","1","MG","MG","2016","2016","Cruzeiro x America-MG","America-MG","fora","1","1","1","1","0","1","0","0"
"5398","42518","Athletico-PR","Figueirense","P. Autuori de Mello","V. Eutrópio","Athletico-PR","Estádio Joaquim Américo Guimarães","2","1","PR","SC","2016","2016","Athletico-PR x Figueirense","Athletico-PR","casa","2","1","3","1","1","0","0","1"
"5398","42518","Athletico-PR","Figueirense","P. Autuori de Mello","V. Eutrópio","Athletico-PR","Estádio Joaquim Américo Guimarães","2","1","PR","SC","2016","2016","Athletico-PR x Figueirense","Figueirense","fora","1","2","0","1","0","0","1","-1"
"5399","42518","Chapecoense","Santa Cruz","A. Ferreira","M. Mendes","-","Arena Condá","1","1","SC","PE","2016","2016","Chapecoense x Santa Cruz","Chapecoense","casa","1","1","1","1","0","1","0","0"
"5399","42518","Chapecoense","Santa Cruz","A. Ferreira","M. Mendes","-","Arena Condá","1","1","SC","PE","2016","2016","Chapecoense x Santa Cruz","Santa Cruz","fora","1","1","1","1","0","1","0","0"
"5400","42519","Ponte Preta","Flamengo","E. Baptista","J. Mannarino","Flamengo"," Moisés Lucarelli","1","2","SP","RJ","2016","2016","Ponte Preta x Flamengo","Ponte Preta","casa","1","2","0","1","0","0","1","-1"
"5400","42519","Ponte Preta","Flamengo","E. Baptista","J. Mannarino","Flamengo"," Moisés Lucarelli","1","2","SP","RJ","2016","2016","Ponte Preta x Flamengo","Flamengo","fora","2","1","3","1","1","0","0","1"
"5401","42519","Sport","Corinthians","O. de Oliveira Filho","A. Bacchi","Corinthians","Adelmar da Costa Carvalho","0","2","PE","SP","2016","2016","Sport x Corinthians","Sport","casa","0","2","0","1","0","0","1","-2"
"5401","42519","Sport","Corinthians","O. de Oliveira Filho","A. Bacchi","Corinthians","Adelmar da Costa Carvalho","0","2","PE","SP","2016","2016","Sport x Corinthians","Corinthians","fora","2","0","3","1","1","0","0","2"
