"partida_id","data","mandante","visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_placar","visitante_placar","mandante_estado","visitante_estado","Ano","Ano do Campeonato","Jogo","Equipe","Mando","GP","GS","P","J","V","E","D","SG"
"5355","42337","Palmeiras","Coritiba","M. de Oliveira Santos","E. Pacheco","Coritiba","Allianz Parque","0","2","SP","PR","2015","2015","Palmeiras x Coritiba","Coritiba","fora","2","0","3","1","1","0","0","2"
"5353","42337","Chapecoense","Goias","A. Ferreira","D. Sérgio","Goias","Arena Condá","1","3","SC","GO","2015","2015","Chapecoense x Goias","Chapecoense","casa","1","3","0","1","0","0","1","-2"
"5353","42337","Chapecoense","Goias","A. Ferreira","D. Sérgio","Goias","Arena Condá","1","3","SC","GO","2015","2015","Chapecoense x Goias","Goias","fora","3","1","3","1","1","0","0","2"
"5354","42337","Vasco","Santos","J. de Amorim Campos","D. Silvestre Júnior","Vasco","Estádio Vasco da Gama","1","0","RJ","SP","2015","2015","Vasco x Santos","Vasco","casa","1","0","3","1","1","0","0","1"
"5354","42337","Vasco","Santos","J. de Amorim Campos","D. Silvestre Júnior","Vasco","Estádio Vasco da Gama","1","0","RJ","SP","2015","2015","Vasco x Santos","Santos","fora","0","1","0","1","0","0","1","-1"
"5356","42337","Athletico-PR","Flamengo","C. Borges dos Santos","J. de Almeida Filho","Athletico-PR","Estádio Joaquim Américo Guimarães","3","0","PR","RJ","2015","2015","Athletico-PR x Flamengo","Athletico-PR","casa","3","0","3","1","1","0","0","3"
"5356","42337","Athletico-PR","Flamengo","C. Borges dos Santos","J. de Almeida Filho","Athletico-PR","Estádio Joaquim Américo Guimarães","3","0","PR","RJ","2015","2015","Athletico-PR x Flamengo","Flamengo","fora","0","3","0","1","0","0","1","-3"
"5365","42344","Joinville","Gremio","P. Lopes de Gusmão","R. Machado Marques","Gremio","Arena Joinville","0","2","SC","RS","2015","2015","Joinville x Gremio","Joinville","casa","0","2","0","1","0","0","1","-2"
"5365","42344","Joinville","Gremio","P. Lopes de Gusmão","R. Machado Marques","Gremio","Arena Joinville","0","2","SC","RS","2015","2015","Joinville x Gremio","Gremio","fora","2","0","3","1","1","0","0","2"
"5358","42344","Flamengo","Palmeiras","J. de Almeida Filho","M. de Oliveira Santos","Palmeiras"," Maracanã","1","2","RJ","SP","2015","2015","Flamengo x Palmeiras","Flamengo","casa","1","2","0","1","0","0","1","-1"
"5358","42344","Flamengo","Palmeiras","J. de Almeida Filho","M. de Oliveira Santos","Palmeiras"," Maracanã","1","2","RJ","SP","2015","2015","Flamengo x Palmeiras","Palmeiras","fora","2","1","3","1","1","0","0","1"
"5360","42344","Santos","Athletico-PR","D. Silvestre Júnior","C. Borges dos Santos","Santos","Estádio Urbano Caldeira","5","1","SP","PR","2015","2015","Santos x Athletico-PR","Santos","casa","5","1","3","1","1","0","0","4"
"5360","42344","Santos","Athletico-PR","D. Silvestre Júnior","C. Borges dos Santos","Santos","Estádio Urbano Caldeira","5","1","SP","PR","2015","2015","Santos x Athletico-PR","Athletico-PR","fora","1","5","0","1","0","0","1","-4"
"5364","42344","Atletico-MG","Chapecoense","D. Giacomini","A. Ferreira","Atletico-MG"," Mineirão","3","0","MG","SC","2015","2015","Atletico-MG x Chapecoense","Atletico-MG","casa","3","0","3","1","1","0","0","3"
"5364","42344","Atletico-MG","Chapecoense","D. Giacomini","A. Ferreira","Atletico-MG"," Mineirão","3","0","MG","SC","2015","2015","Atletico-MG x Chapecoense","Chapecoense","fora","0","3","0","1","0","0","1","-3"
"5361","42344","Ponte Preta","Sport","F. Moreira","Falcao","Sport"," Moisés Lucarelli","0","1","SP","PE","2015","2015","Ponte Preta x Sport","Ponte Preta","casa","0","1","0","1","0","0","1","-1"
"5361","42344","Ponte Preta","Sport","F. Moreira","Falcao","Sport"," Moisés Lucarelli","0","1","SP","PE","2015","2015","Ponte Preta x Sport","Sport","fora","1","0","3","1","1","0","0","1"
"5357","42344","Internacional","Cruzeiro","A. Fucks","L. Venker de Menezes","Internacional","Estádio José Pinheiro Borda","2","0","RS","MG","2015","2015","Internacional x Cruzeiro","Internacional","casa","2","0","3","1","1","0","0","2"
"5357","42344","Internacional","Cruzeiro","A. Fucks","L. Venker de Menezes","Internacional","Estádio José Pinheiro Borda","2","0","RS","MG","2015","2015","Internacional x Cruzeiro","Cruzeiro","fora","0","2","0","1","0","0","1","-2"
"5359","42344","Figueirense","Fluminense","H. Coutinho","E. Baptista","Figueirense"," Orlando Scarpelli","1","0","SC","RJ","2015","2015","Figueirense x Fluminense","Figueirense","casa","1","0","3","1","1","0","0","1"
"5359","42344","Figueirense","Fluminense","H. Coutinho","E. Baptista","Figueirense"," Orlando Scarpelli","1","0","SC","RJ","2015","2015","Figueirense x Fluminense","Fluminense","fora","0","1","0","1","0","0","1","-1"
"5362","42344","Goias","Sao Paulo","D. Sérgio","M. Cruz","Sao Paulo","Estádio do Governo do Estado de Goiás (Serra Dourada)","0","1","GO","SP","2015","2015","Goias x Sao Paulo","Goias","casa","0","1","0","1","0","0","1","-1"
"5362","42344","Goias","Sao Paulo","D. Sérgio","M. Cruz","Sao Paulo","Estádio do Governo do Estado de Goiás (Serra Dourada)","0","1","GO","SP","2015","2015","Goias x Sao Paulo","Sao Paulo","fora","1","0","3","1","1","0","0","1"
"5363","42344","Corinthians","Avai","A. Bacchi","R. Maia Cabral","-","Neo Química Arena","1","1","SP","SC","2015","2015","Corinthians x Avai","Corinthians","casa","1","1","1","1","0","1","0","0"
"5363","42344","Corinthians","Avai","A. Bacchi","R. Maia Cabral","-","Neo Química Arena","1","1","SP","SC","2015","2015","Corinthians x Avai","Avai","fora","1","1","1","1","0","1","0","0"
"5366","42344","Coritiba","Vasco","E. Pacheco","J. de Amorim Campos","-"," Couto Pereira","0","0","PR","RJ","2015","2015","Coritiba x Vasco","Coritiba","casa","0","0","1","1","0","1","0","0"
"5366","42344","Coritiba","Vasco","E. Pacheco","J. de Amorim Campos","-"," Couto Pereira","0","0","PR","RJ","2015","2015","Coritiba x Vasco","Vasco","fora","0","0","1","1","0","1","0","0"
