partida_id,clube,cartao,atleta,minuto
5008,Internacional,Amarelo,Taiberson Ruan Menezes Nunes,83
5008,Internacional,Amarelo,Nilmar,12
5008,Internacional,Vermelho,Alan Ruschel,68
5007,Sao Paulo,Amarelo,Thiago Henrique Mendes Ribeiro,56
5007,Sao Paulo,Amarelo,Alexandre Pato,86
5009,Gremio,Amarelo,Marcelo Grohe,90+1
5009,Gremio,Amarelo,Tiago Machowski,63
5009,Gremio,Amarelo,Walace,40
5009,Figueirense,Amarelo,Leandro Silva,90+2
5009,Figueirense,Amarelo,Fabinho,57
5009,Figueirense,Amarelo,Yago Rocha,32
5009,Gremio,Amarelo,Braian Rodríguez,89
5009,Gremio,Amarelo,Douglas dos Santos,55
5009,Gremio,Amarelo,Rafael Galhardo,20
5009,Figueirense,Amarelo,Bruno Alves,72
5009,Figueirense,Amarelo,Roberto Cereceda,52
5010,Palmeiras,Amarelo,Kelvin Mateus de Oliveira,69
5010,Palmeiras,Amarelo,Leandro,34
5010,Palmeiras,Amarelo,Jorge Valdivia,9
5010,Goias,Amarelo,Péricles da Silva Nunes,82
5010,Goias,Amarelo,Wesley,53
5010,Palmeiras,Vermelho,Victor Ramos,90+2
5010,Palmeiras,Amarelo,Leandro,87
5010,Palmeiras,Amarelo,Lucas Rios Marques,39
5010,Palmeiras,Amarelo,Victor Ramos,17
5010,Goias,Amarelo,Wiliam Kozlowski,87
5010,Goias,Amarelo,Bruno Henrique,64
5010,Goias,Amarelo,Rafael Forster,10
5010,Goias,Vermelho,Bruno Henrique,77
5011,Chapecoense,Amarelo,Hyoran,90+3
5011,Chapecoense,Amarelo,Vilson Xavier de Menezes Júnior,52
5011,Chapecoense,Amarelo,Rafael Lima,7
5011,Santos,Amarelo,Lucas Rafael Araújo Lima,62
5011,Santos,Amarelo,Lucas Otávio,50
5011,Santos,Amarelo,Ricardo Oliveira,41
5011,Chapecoense,Amarelo,Elicarlos,84
5011,Chapecoense,Amarelo,José Gildeixon Clemente de Paiva,35
5011,Santos,Amarelo,Francisco Souza dos Santos,88
5011,Santos,Amarelo,Robinho,52
5011,Santos,Amarelo,Geuvânio,48
5012,Athletico-PR,Amarelo,Felipe de Oliveira Silva,71
5012,Athletico-PR,Amarelo,Douglas Coutinho,41
5012,Athletico-PR,Vermelho,Walter Henrique da Silva,87
5012,Athletico-PR,Amarelo,Otávio Henrique Santos,90+6
5012,Athletico-PR,Amarelo,Weverton Pereira da Silva,45+1
5013,Fluminense,Amarelo,José Renato da Silva Júnior,21
5013,Corinthians,Amarelo,Jadson,13
5013,Fluminense,Amarelo,Gum,76
5013,Corinthians,Amarelo,Petros,49
5014,Avai,Amarelo,Roberto César Zardin Rodrigues,79
5014,Avai,Amarelo,Marquinhos Santos,41
5014,Flamengo,Amarelo,Pablo Armero,90
5014,Flamengo,Amarelo,Paulo Victor Mileo Vidotti,63
5014,Flamengo,Amarelo,Wallace Reis da Silva,46
5014,Avai,Amarelo,Glekson Marrone,90+3
5014,Avai,Amarelo,Jeci,45+1
5014,Avai,Amarelo,Hugo da Silva Cabral,6
5014,Flamengo,Amarelo,Luiz Antônio de Souza Soares,88
5014,Flamengo,Amarelo,Paulinho,63
5014,Flamengo,Amarelo,Éverton Cardoso da Silva,18
5015,Cruzeiro,Amarelo,Fabrício dos Santos Silva,45
5015,Ponte Preta,Amarelo,Juninho,77
5015,Cruzeiro,Amarelo,Paulo André,34
5015,Ponte Preta,Amarelo,Pablo Castro,31
5016,Sport,Amarelo,Rithely,82
5016,Coritiba,Amarelo,Ivan Aparecido Martins,30
5016,Coritiba,Amarelo,Norberto Pereira Marinho Neto,15
5016,Coritiba,Amarelo,Rosinei,38
5016,Coritiba,Amarelo,João Paulo Silva,19
5017,Ponte Preta,Amarelo,Josimar,76
5017,Ponte Preta,Amarelo,Biro-Biro,35
5017,Chapecoense,Amarelo,Roger Rodrigues da Silva,13
5017,Ponte Preta,Amarelo,Renato Cajá,90+2
5017,Ponte Preta,Amarelo,Diego Oliveira,65
5017,Chapecoense,Amarelo,Apodi,62
5017,Chapecoense,Vermelho,Apodi,62
5018,Coritiba,Amarelo,Rosinei,70
5018,Coritiba,Amarelo,Paulinho Moccelin,46
5018,Avai,Amarelo,Renan Martins Pereira,60
5018,Avai,Amarelo,Romário Guilherme dos Santos,35
5018,Coritiba,Amarelo,Leandro Almeida,79
5018,Coritiba,Amarelo,Hélder,57
5018,Avai,Amarelo,Emerson dos Santos da Silva,89
5018,Avai,Amarelo,Vagner Antônio Brandalise,45+2
5019,Athletico-PR,Amarelo,Natanael Batista Pimenta,88
5019,Athletico-PR,Amarelo,Nikão,60
5019,Athletico-PR,Amarelo,Ytalo José dos Santos,88
5019,Athletico-PR,Amarelo,Hernani Azevedo Junior,75
5020,Sport,Amarelo,Neto,69
5020,Santos,Amarelo,David Braz,84
5020,Sport,Amarelo,Wendel Geraldo Maurício e Silva,45+1
5022,Vasco,Amarelo,Yago Moreira Silva,88
5022,Vasco,Amarelo,Rafael Silva dos Santos,62
5022,Vasco,Amarelo,Diguinho,78
5021,Goias,Amarelo,Wesley,60
5021,Gremio,Amarelo,Marcelo Grohe,53
5024,Internacional,Amarelo,Anderson Luís de Abreu Oliveira,56
5024,Sao Paulo,Amarelo,Reinaldo Manoel da Silva,21
5024,Sao Paulo,Vermelho,Reinaldo Manoel da Silva,90+1
5024,Internacional,Amarelo,Alisson Farias,87
5024,Internacional,Amarelo,Lisandro López,37
5023,Corinthians,Amarelo,Edílson Mendes Guimarães,73
5023,Corinthians,Amarelo,Renato Augusto,47
5023,Palmeiras,Amarelo,Kelvin Mateus de Oliveira,84
5023,Palmeiras,Amarelo,Lucas Rios Marques,67
5023,Palmeiras,Amarelo,Arouca,18
5023,Corinthians,Amarelo,Danilo Gabriel de Andrade,74
5023,Corinthians,Amarelo,Carlos Gilberto do Nascimento Silva,68
5023,Corinthians,Amarelo,Ralf de Souza Teles,38
5023,Palmeiras,Amarelo,Jorge Valdivia,79
5023,Palmeiras,Amarelo,Egídio de Araújo Pereira Júnior,45
5025,Flamengo,Amarelo,Héctor Canteros,85
5025,Flamengo,Amarelo,Víctor Cáceres,44
5025,Flamengo,Amarelo,Marcos Rogério Ricci Lopes,7
5025,Fluminense,Amarelo,Wagner Ferreira dos Santos,55
5025,Fluminense,Vermelho,Giovanni,50
5025,Flamengo,Amarelo,Eduardo da Silva,90+4
5025,Flamengo,Amarelo,Bressan,55
5025,Flamengo,Amarelo,Éverton Cardoso da Silva,23
5025,Fluminense,Amarelo,Diego Cavalieri,67
5025,Fluminense,Amarelo,Vinícius,28
5025,Flamengo,Vermelho,Héctor Canteros,90+1
5026,Cruzeiro,Amarelo,Mayke,56
5026,Cruzeiro,Amarelo,Willian Gomes de Siqueira,33
5026,Cruzeiro,Amarelo,Willians Domingos Fernandes,10
5026,Figueirense,Amarelo,Marcos Assis de Santana,89
5026,Figueirense,Amarelo,Marcos Roberto da Silva Barbosa,32
5026,Cruzeiro,Amarelo,Charles Fernando Basílio da Silva,49
5026,Cruzeiro,Amarelo,Leandro Damião,30
5026,Figueirense,Amarelo,Carlos Alberto Gomes de Jesus,79
5026,Cruzeiro,Amarelo,Henrique Pacheco Lima,70
5026,Cruzeiro,Vermelho,Willians Domingos Fernandes,71
5027,Figueirense,Amarelo,Fabinho,80
5027,Figueirense,Amarelo,Clayton da Silveira da Silva,53
5027,Athletico-PR,Amarelo,Jadson,85
5027,Figueirense,Amarelo,Leandro Silva,60
5027,Figueirense,Amarelo,Carlos Alberto Gomes de Jesus,34
5028,Vasco,Amarelo,Gilberto Oliveira Souza Junior,87
5028,Ponte Preta,Amarelo,Borges,77
5028,Ponte Preta,Amarelo,Felipe Azevedo,14
5028,Vasco,Vermelho,Gilberto Oliveira Souza Junior,87
5028,Vasco,Amarelo,Pablo Guiñazú,62
5028,Ponte Preta,Amarelo,Pablo Castro,22
5028,Vasco,Vermelho,Jordi,29
5029,Chapecoense,Amarelo,Dener Assunção Braz,83
5029,Joinville,Amarelo,Tiago Luís Martins,63
5029,Joinville,Amarelo,Welinton Júnior,37
5029,Joinville,Amarelo,Marcelo Costa,18
5029,Chapecoense,Amarelo,Francinilson Santos Meirelles,86
