partida_id,clube,posse_de_bola,passes,faltas,impedimentos,escanteios
5062,Cruzeiro,0.62,526,9,2,5
5062,Chapecoense,0.38,323,16,1,4
5063,Joinville,0.48,377,13,0,3
5063,Goias,0.52,394,12,2,11
5065,Sao Paulo,0.58,414,14,9,9
5065,Avai,0.42,314,13,1,9
5064,Athletico-PR,0.51,381,10,4,2
5064,Coritiba,0.49,384,20,2,3
5066,Ponte Preta,0.52,473,18,0,6
5066,Fluminense,0.48,452,16,1,3
5067,Avai,0.5,375,14,1,12
5067,Gremio,0.5,406,16,3,4
5068,Chapecoense,0.64,433,7,2,16
5068,Sport,0.36,265,16,1,3
5069,Corinthians,0.52,473,10,1,7
5069,Figueirense,0.48,452,11,3,3
5070,Atletico-MG,0.58,505,11,4,10
5070,Joinville,0.42,376,13,7,3
5071,Palmeiras,0.4,344,18,2,8
5071,Sao Paulo,0.6,503,14,3,2
5072,Goias,0.46,371,15,6,13
5072,Fluminense,0.54,443,12,1,3
5073,Ponte Preta,0.52,408,16,2,6
5073,Athletico-PR,0.48,371,27,1,5
5074,Cruzeiro,0.51,373,15,3,2
5074,Coritiba,0.49,362,22,4,3
5075,Flamengo,0.68,535,10,7,10
5075,Vasco,0.32,255,18,1,2
5076,Santos,0.39,324,12,3,7
5076,Internacional,0.61,506,4,2,8
5077,Internacional,0.6,469,8,3,7
5077,Sport,0.4,322,13,2,6
5078,Vasco,0.48,375,16,6,6
5078,Avai,0.52,404,11,1,6
5079,Palmeiras,0.48,428,15,4,2
5079,Chapecoense,0.52,472,17,2,3
5080,Coritiba,0.4,394,11,5,4
5080,Atletico-MG,0.6,564,8,6,3
5082,Cruzeiro,0.42,353,21,0,2
5082,Gremio,0.58,478,21,1,13
5081,Joinville,0.63,580,14,1,3
5081,Flamengo,0.37,337,11,4,3
5083,Sao Paulo,0.54,501,8,3,2
5083,Athletico-PR,0.46,432,17,1,4
5085,Figueirense,0.46,395,17,1,1
5085,Goias,0.54,443,20,1,4
5084,Ponte Preta,0.54,522,12,2,5
5084,Corinthians,0.46,468,5,0,5
5086,Santos,0.48,424,21,1,3
5086,Fluminense,0.52,442,7,1,1
5087,Joinville,0.41,333,17,2,4
5087,Coritiba,0.59,454,22,4,5
5089,Cruzeiro,0.54,424,10,1,6
5089,Athletico-PR,0.46,370,18,1,4
